X (Lat),Y (Long),CNTY_NM,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Location,Texas Councils of Government,Counties,Texas House Districts,Texas Congressional Districts,Texas Senate Districts
-97.492799270000006,29.456414949999999,Gonzales,90,"48,177",2.1249106219999998,0.25780482799999999,"(-97.492799, 29.456415)",,,,,
-98.697292099999999,27.043404989999999,Jim Hogg,125,"48,247",2.2717513039999999,0.26762412600000002,"(-98.697292, 27.043405)",,,,,
-97.681377830000002,26.924094480000001,Kenedy,66,"48,261",5.0678643069999998,0.38939735199999997,"(-97.681378, 26.924094)",,,,,
-96.965687349999996,30.310650649999999,Lee,144,"48,287",2.2138533460000001,0.15399046,"(-96.965687, 30.310651)",,,,,
-95.853568469999999,32.211880780000001,Henderson,108,"48,213",3.1529087520000001,0.23505621300000001,"(-95.853568, 32.211881)",,,,,
-94.144952610000004,31.792421910000002,Shelby,210,"48,419",2.6787897599999999,0.20581576900000001,"(-94.144953, 31.792422)",,,,,
-99.453625790000004,31.77329421,Coleman,42,"48,083",2.6756410549999998,0.31606201499999997,"(-99.453626, 31.773294)",,,,,
-96.403565749999999,30.214529899999999,Washington,239,"48,477",2.5471056129999998,0.15074353500000001,"(-96.403566, 30.21453)",,,,,
-99.760574000000005,28.421611680000002,Dimmit,64,"48,127",2.3246638439999998,0.31445436700000001,"(-99.760574, 28.421612)",,,,,
-99.730294009999994,33.178248050000001,Haskell,105,"48,207",1.91739054,0.22792516600000001,"(-99.730294, 33.178248)",,,,,
-99.212368319999996,33.177539070000002,Throckmorton,224,"48,447",1.92184449,0.229200301,"(-99.212368, 33.177539)",,,,,
-99.745385099999993,34.28865227,Hardeman,100,"48,197",1.9047290349999999,0.17664409,"(-99.745385, 34.288652)",,,,,
-102.3517095,34.068612420000001,Lamb,140,"48,279",2.0311749300000002,0.25746465099999999,"(-102.351709, 34.068612)",,,,,
-98.55841538,31.949063899999999,Comanche,47,"48,093",2.0954343120000001,0.23531392100000001,"(-98.558415, 31.949064)",,,,,
-102.335157,33.173737289999998,Terry,223,"48,445",1.8966873310000001,0.22297779500000001,"(-102.335157, 33.173737)",,,,,
-93.851704389999995,31.34321941,Sabine,202,"48,403",2.033399379,0.14150251599999999,"(-93.851704, 31.343219)",,,,,
-102.6021647,36.27777107,Dallam,56,"48,111",2.647748843,0.39103491099999999,"(-102.602165, 36.277771)",,,,,
-103.69314300000001,31.323070609999998,Reeves,195,"48,389",4.574018208,0.64879601099999995,"(-103.693143, 31.323071)",,,,,
-102.63788390000001,32.305062829999997,Andrews,2,"48,003",2.579602167,0.37226947700000002,"(-102.637884, 32.305063)",,,,,
-94.761695770000003,32.10803224,Rusk,201,"48,401",2.4478683760000002,0.23243584,"(-94.761696, 32.108032)",,,,,
-101.3547257,35.840008660000002,Hutchinson,118,"48,233",1.9356257100000001,0.23122710799999999,"(-101.354726, 35.840009)",,,,,
-96.930209930000004,29.384370029999999,Lavaca,143,"48,285",1.9283844269999999,0.23373686299999999,"(-96.93021, 29.38437)",,,,,
-103.2518906,29.812058360000002,Brewster,22,"48,043",6.0048963430000004,1.497093043,"(-103.251891, 29.812058)",,,,,
-96.794674169999993,32.34839264,Ellis,71,"48,139",2.2450244879999999,0.23614213100000001,"(-96.794674, 32.348393)",,,,,
-97.426460820000003,28.657085630000001,Goliad,89,"48,175",2.1711687930000001,0.20545111499999999,"(-97.426461, 28.657086)",,,,,
-99.820614719999995,30.88981785,Menard,164,"48,327",2.0177553540000002,0.220448427,"(-99.820615, 30.889818)",,,,,
-100.30489369999999,29.98248216,Edwards,70,"48,137",3.3702996600000001,0.51342408299999998,"(-100.304894, 29.982482)",,,,,
-94.376514319999998,30.771260699999999,Tyler,229,"48,457",2.6738657319999999,0.228323625,"(-94.376514, 30.771261)",,,,,
-94.96509786,33.216090600000001,Titus,225,"48,449",2.0030806399999999,0.10691437099999999,"(-94.965098, 33.216091)",,,,,
-96.287793410000006,32.599278079999998,Kaufman,130,"48,257",2.0022307239999999,0.200935223,"(-96.287793, 32.599278)",,,,,
-96.512725680000003,31.027054150000001,Robertson,198,"48,395",2.503122646,0.21174225799999999,"(-96.512726, 31.027054)",,,,,
-98.568422560000002,28.353510910000001,McMullen,162,"48,311",2.1189087419999999,0.27759452699999998,"(-98.568423, 28.353511)",,,,,
-102.6351246,32.740745369999999,Gaines,84,"48,165",2.5904190389999999,0.374514715,"(-102.635125, 32.740745)",,,,,
-100.25585839999999,33.616418629999998,King,135,"48,269",1.9282965670000001,0.22995294499999999,"(-100.255858, 33.616419)",,,,,
-95.455784789999996,29.193453869999999,Brazoria,20,"48,039",8.4499985720000002,0.34286974199999998,"(-95.455785, 29.193454)",,,,,
-99.373596919999997,32.297773800000002,Callahan,30,"48,059",1.8975237009999999,0.223364373,"(-99.373597, 32.297774)",,,,,
-95.572241719999994,30.73899492,Walker,236,"48,471",2.1520408020000001,0.19544831600000001,"(-95.572242, 30.738995)",,,,,
-96.578832680000005,28.956031329999998,Jackson,121,"48,239",2.989531452,0.20383494099999999,"(-96.578833, 28.956031)",,,,,
-103.5799063,31.849129730000001,Loving,151,"48,301",2.1446834460000002,0.166916127,"(-103.579906, 31.84913)",,,,,
-101.52301079999999,31.366176979999999,Reagan,192,"48,383",2.1535351739999999,0.288722753,"(-101.523011, 31.366177)",,,,,
-96.677648640000001,33.626843710000003,Grayson,92,"48,181",2.3655996969999999,0.24644239300000001,"(-96.677649, 33.626844)",,,,,
