GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,
0500000US48103,48103,"Crane County, Texas",4375,4375,4382,4358,4527,4721,4904,5002,4783,4713,4794,REP
0500000US48105,48105,"Crockett County, Texas",3719,3719,3701,3652,3706,3764,3790,3738,3647,3555,3499,REP
0500000US48107,48107,"Crosby County, Texas",6059,6056,6026,6042,6034,5923,5825,5917,5912,5872,5779,REP
0500000US48109,48109,"Culberson County, Texas",2398,2398,2404,2393,2317,2306,2283,2256,2224,2237,2204,DEM
0500000US48111,48111,"Dallam County, Texas",6703,6700,6748,6892,7065,7118,7224,7288,7293,7211,7200,REP
0500000US48113,48113,"Dallas County, Texas",2368139,2366683,2372327,2408170,2455921,2484988,2520434,2558913,2592844,2622799,2637772,DEM
0500000US48115,48115,"Dawson County, Texas",13833,13833,13827,13746,13613,13219,13448,12990,12998,12766,12619,REP
0500000US48117,48117,"Deaf Smith County, Texas",19372,19372,19465,19522,19381,19195,19139,18851,18894,18851,18760,REP
0500000US48119,48119,"Delta County, Texas",5231,5231,5241,5146,5241,5118,5140,5157,5145,5286,5349,REP
0500000US48121,48121,"Denton County, Texas",662614,662554,666768,685709,707971,728774,753429,779528,807883,835330,859064,REP
0500000US48123,48123,"DeWitt County, Texas",20097,20097,20054,20206,20359,20378,20521,20634,20626,20208,20187,REP
0500000US48125,48125,"Dickens County, Texas",2444,2441,2447,2400,2321,2296,2215,2208,2201,2207,2249,REP
0500000US48127,48127,"Dimmit County, Texas",9996,9996,10043,10111,10476,10903,10999,10939,10722,10346,10308,DEM
0500000US48129,48129,"Donley County, Texas",3677,3726,3734,3686,3644,3561,3484,3392,3389,3351,3319,REP
0500000US48131,48131,"Duval County, Texas",11782,11784,11722,11797,11589,11589,11519,11342,11429,11272,11212,DEM
0500000US48133,48133,"Eastland County, Texas",18583,18582,18594,18580,18461,18284,18262,18165,18261,18342,18322,REP
0500000US48135,48135,"Ector County, Texas",137130,137136,137083,139645,144524,149714,154674,159933,157805,157173,162124,REP
0500000US48137,48137,"Edwards County, Texas",2002,2002,1999,1979,1990,1899,1904,1912,1912,1941,1928,REP
0500000US48139,48139,"Ellis County, Texas",149610,149604,150371,152380,153767,155971,159259,163391,168467,173636,179436,REP
0500000US48141,48141,"El Paso County, Texas",800647,800653,803655,820216,832915,831746,834992,833961,838014,840545,840758,DEM
0500000US48143,48143,"Erath County, Texas",37890,37900,37917,38927,39414,39899,40532,41195,41376,41862,42446,REP
0500000US48145,48145,"Falls County, Texas",17866,17867,17895,17849,17574,17253,17214,17231,17311,17403,17335,REP
0500000US48147,48147,"Fannin County, Texas",33915,33910,33919,33876,33597,33513,33598,33500,33919,34572,35286,REP
0500000US48149,48149,"Fayette County, Texas",24554,24556,24561,24753,24666,24729,24792,24964,25051,25176,25349,REP
0500000US48151,48151,"Fisher County, Texas",3974,3978,3973,3961,3852,3873,3887,3893,3894,3904,3839,REP
0500000US48153,48153,"Floyd County, Texas",6446,6446,6403,6368,6349,6246,5947,5851,5863,5864,5837,REP
0500000US48155,48155,"Foard County, Texas",1336,1336,1345,1362,1311,1288,1276,1226,1201,1206,1200,REP
0500000US48157,48157,"Fort Bend County, Texas",585375,584690,590260,606063,624926,652050,684345,715067,743303,766136,787858,REP
0500000US48159,48159,"Franklin County, Texas",10605,10603,10609,10563,10638,10616,10568,10606,10673,10780,10766,REP
0500000US48161,48161,"Freestone County, Texas",19816,19817,19802,19599,19480,19595,19674,19745,19663,19654,19808,REP
0500000US48163,48163,"Frio County, Texas",17217,17217,17258,17493,17929,18406,18946,19269,19373,19564,19816,DEM
0500000US48165,48165,"Gaines County, Texas",17526,17526,17589,17912,18315,18820,19350,20241,20480,20635,20901,REP
0500000US48167,48167,"Galveston County, Texas",291309,291307,292476,295576,301053,306614,313426,321003,328822,334304,337890,REP
0500000US48169,48169,"Garza County, Texas",6461,6461,6469,6576,6438,6392,6456,6418,6504,6559,6578,REP
0500000US48171,48171,"Gillespie County, Texas",24837,24836,24887,25053,25193,25385,25495,25954,26259,26530,26804,REP
0500000US48173,48173,"Glasscock County, Texas",1226,1226,1232,1238,1280,1271,1327,1379,1363,1360,1388,REP
0500000US48175,48175,"Goliad County, Texas",7210,7210,7219,7208,7332,7451,7505,7510,7506,7548,7584,REP
0500000US48177,48177,"Gonzales County, Texas",19807,19811,19798,19760,19937,20156,20366,20532,20817,20796,20826,REP
0500000US48179,48179,"Gray County, Texas",22535,22537,22469,22657,22919,22995,23435,23251,22721,22121,21895,REP
0500000US48181,48181,"Grayson County, Texas",120877,120875,121030,121417,121854,122371,123615,125647,128331,131214,133991,REP
0500000US48183,48183,"Gregg County, Texas",121730,121745,121987,122657,123098,123255,123174,123915,123551,123123,123707,REP
0500000US48185,48185,"Grimes County, Texas",26604,26581,26615,26652,26683,26796,27003,27305,27505,27977,28360,REP
0500000US48187,48187,"Guadalupe County, Texas",131533,131534,132596,135810,139656,142909,146848,150665,154638,159841,163694,REP
0500000US48189,48189,"Hale County, Texas",36273,36206,36270,36383,36257,35682,34463,34066,34163,34044,33830,REP
0500000US48191,48191,"Hall County, Texas",3353,3353,3359,3312,3267,3164,3074,3096,3115,3059,3028,REP
0500000US48193,48193,"Hamilton County, Texas",8517,8512,8465,8388,8248,8240,8159,8079,8231,8394,8484,REP
0500000US48195,48195,"Hansford County, Texas",5613,5613,5601,5581,5535,5548,5562,5647,5580,5483,5463,REP
0500000US48197,48197,"Hardeman County, Texas",4139,4139,4159,4159,4098,4066,3991,3915,3969,3964,3922,REP
0500000US48199,48199,"Hardin County, Texas",54635,54635,54783,55061,55117,55301,55508,55761,56260,57159,57207,REP
0500000US48201,48201,"Harris County, Texas",4092459,4093188,4107828,4179796,4264193,4355158,4458709,4561939,4629189,4664159,4698619,DEM
0500000US48203,48203,"Harrison County, Texas",65631,65644,65769,66345,66271,66288,66610,66710,66640,66540,66726,REP
0500000US48205,48205,"Hartley County, Texas",6062,6062,6064,6030,6088,6001,6056,5700,5737,5721,5619,REP
0500000US48207,48207,"Haskell County, Texas",5899,5902,5879,5958,5883,5898,5809,5843,5796,5783,5813,REP
0500000US48209,48209,"Hays County, Texas",157107,157099,158212,163259,168518,176053,184895,194591,204358,214277,222631,REP
0500000US48211,48211,"Hemphill County, Texas",3807,3807,3795,3956,4092,4152,4164,4273,4098,3945,3825,REP
0500000US48213,48213,"Henderson County, Texas",78532,78534,78622,78792,78951,78639,79302,79507,80129,81061,82299,REP
0500000US48215,48215,"Hidalgo County, Texas",774769,774768,779213,795741,808835,819374,830824,841061,850798,858323,865939,DEM
0500000US48217,48217,"Hill County, Texas",35089,35088,35145,35200,35157,34855,34776,34871,35173,35819,36354,REP
